日期,红盘,绿盘,涨停,跌停,炸板,3连板以上个股数,3连板,2连板,首板,3连板以上个股,3连板个股,2连板个股,备注
2024-12-27,3545,1731,66,5,35,1,4,6,55,电光科技6,东百集团;中百集团;雷柏科技;泰豪科技,亚通股份;安源煤业;顺钠股份;宝胜股份;哈森股份;航发科技,
2024-12-30,1321,3956,41,10,16,2,3,4,32,中百集团4;东百集团4,安源煤业;顺钠股份;哈森股份,绿康生化;神剑股份;广电电气;东港股份,
2024-12-31,705,4618,47,23,19,4,2,5,36,中百集团5;东百集团5;安源煤业4;顺钠股份4,绿康生化;神剑股份,友好集团;宝泰隆;瑞和股份;仁智股份;交大昂立,
2025-01-02,924,4383,58,13,35,3,2,10,43,中百集团6;东百集团6;顺钠股份5,友好集团;交大昂立,克劳斯;海得控制;华资实业;锦和商管;建设工业;梦洁股份;浙江自然;君禾股份;莲花控股;来伊份,
2025-01-03,614,4726,47,81,21,3,3,9,32,东百集团7;顺钠股份6;交大昂立4,海得控制;梦洁股份;君禾股份,电光科技;美邦股份;益民集团;华联股份;比依股份;山子高科;美邦服饰;欣天科技;东港股份,
2025-01-06,2291,2932,60,63,21,2,2,11,45,海得控制4;君禾股份4,美邦股份;比依股份,葫芦娃;罗欣药业;新华制药;鲁抗医药;哈药股份;氯碱化工;粤宏远Ａ;永茂泰;迪贝电气;雄韬股份;宝鼎科技,
2025-01-07,4392,902,92,9,20,2,3,10,77,海得控制5;美邦股份4,粤宏远Ａ;迪贝电气;雄韬股份,祥和实业;惠而浦;康盛股份;炬申股份;中恒电气;动力源;柘中股份;华塑科技;海鸥股份;禾望电气,
2025-01-08,1977,3250,67,3,28,4,5,13,45,海得控制6;美邦股份5;粤宏远Ａ4;雄韬股份4,康盛股份;中恒电气;华塑科技;海鸥股份;禾望电气,东方精工;弘讯科技;利欧股份;东方智造;瑞芯微;广百股份;银座股份;宏创控股;岭南股份;万控智造;顺钠股份;天迈科技;汇洲智能,
2025-01-09,2728,2458,86,4,19,7,4,12,63,海得控制7;美邦股份6;粤宏远Ａ5;雄韬股份5;康盛股份4;海鸥股份4;禾望电气4,弘讯科技;利欧股份;银座股份;万控智造,电光科技;凯淳股份;力鼎光电;晶华新材;济高发展;豪能股份;神雾节能;远程股份;凯伦股份;麦迪科技;日海智能;共进股份,
2025-01-10,534,4801,37,40,36,3,1,9,24,美邦股份7;粤宏远Ａ6;弘讯科技4,麦迪科技,郑中设计;金奥博;博通集成;德力股份;飞龙股份;方正科技;苏豪弘业;五洲新春;来伊份,
2025-01-13,3006,2180,45,29,18,1,3,3,38,美邦股份8,金奥博;苏豪弘业;来伊份,先达股份;福达股份;哈空调,
2025-01-14,5332,38,136,0,29,4,3,9,120,美邦股份9;金奥博4;苏豪弘业4;来伊份4,先达股份;福达股份;哈空调,康尼机电;柳化股份;大连友谊;康盛股份;顺发恒业;腾龙股份;南京公用;恒银科技;宁波东力,
2025-01-15,1666,3553,65,7,25,4,2,20,39,美邦股份10;金奥博5;苏豪弘业5;来伊份5,柳化股份;宁波东力,海源复材;巨轮智能;冀凯股份;壹网壹创;三维通信;利欧股份;遥望科技;国旅联合;引力传媒;天下秀;福石控股;建设工业;狮头股份;德创环保;金安国纪;爱慕股份;歌力思;皮阿诺;五洲新春;汇洲智能,
2025-01-16,3367,1816,71,4,31,4,12,7,48,金奥博6;苏豪弘业6;来伊份6;宁波东力4,冀凯股份;遥望科技;国旅联合;壹网壹创;天下秀;引力传媒;德创环保;狮头股份;金安国纪;爱慕股份;歌力思;汇洲智能,金瑞矿业;红星发展;博通集成;广百股份;思美传媒;汇鸿集团;好想你,
2025-01-17,2619,2534,57,12,21,8,1,5,43,金奥博7;冀凯股份4;国旅联合4;狮头股份4;德创环保4;金安国纪4;爱慕股份4;汇洲智能4,金瑞矿业,先锋电子;万和电气;闽发铝业;瀛通通讯;一鸣食品,
2025-01-20,3616,1587,70,19,35,3,3,10,54,冀凯股份5;金安国纪5;爱慕股份5,先锋电子;万和电气;瀛通通讯,电光科技;三德科技;德联集团;润都股份;兴业股份;澳弘电子;远程股份;华脉科技;北自科技;祖名股份,
2025-01-21,1984,3257,46,18,28,3,5,7,31,冀凯股份6;先锋电子4;瀛通通讯4,电光科技;兴业股份;远程股份;华脉科技;祖名股份,冀东装备;华联股份;福莱新材;广西广电;好利科技;金智科技;潍柴重机,
2025-01-22,1031,4261,39,21,15,5,4,4,26,冀凯股份7;瀛通通讯5;电光科技4;兴业股份4;华脉科技4,冀东装备;华联股份;福莱新材;广西广电,克劳斯;晋拓股份;长华集团;森源电气,
2025-01-23,2334,2794,40,20,37,4,1,6,29,电光科技5;兴业股份5;冀东装备4;华联股份4,晋拓股份,新炬网络;天茂集团;华软科技;新亚电子;友邦吊顶;汇源通信,
2025-01-24,3956,1225,67,19,9,4,2,7,54,兴业股份6;冀东装备5;华联股份5;晋拓股份4,新炬网络;新亚电子,和科达;南兴股份;龙韵股份;日盈电子;垒知集团;长飞光纤;中大力德,
2025-01-27,1816,3421,39,38,22,2,1,5,31,冀东装备6;新炬网络4,垒知集团,金财互联;美格智能;正和生态;泛微网络;华纬科技,
2025-02-05,3433,1849,77,31,25,1,2,10,64,新炬网络5,美格智能;泛微网络,智信精密;冀凯股份;南威软件;竞业达;每日互动;航锦科技;济高发展;浙江东方;阳光照明;华金资本,
2025-02-06,4800,471,90,0,22,2,5,16,67,新炬网络6;美格智能4,冀凯股份;每日互动;航锦科技;浙江东方;华金资本,青云科技-U;优刻得-W;天娱数科;东方材料;大为股份;安凯微;伯特利;浙数文化;鸣志电器;安恒信息;拓维信息;梦网科技;精伦电子;汇洲智能;杭钢股份;中基健康,
2025-02-07,4169,1087,83,1,45,5,10,11,57,新炬网络7;美格智能5;冀凯股份4;航锦科技4;浙江东方4,优刻得-W;青云科技-U;东方材料;大为股份;浙数文化;拓维信息;梦网科技;精伦电子;汇洲智能;杭钢股份,海南华铁;联创电子;通达创智;万朗磁塑;华阳变速;通达电气;中原内配;雷柏科技;世运电路;日发精机;莲花控股,
2025-02-10,4146,1109,123,1,15,10,3,18,92,新炬网络8;美格智能6;航锦科技5;浙江东方5;优刻得-W4;青云科技-U4;浙数文化4;拓维信息4;梦网科技4;杭钢股份4,海南华铁;联创电子;通达电气,首都在线;东方智造;奥瑞德;贝瑞基因;金域医学;美年健康;塞力医疗;新华百货;四川长虹;中化岩土;世荣兆业;吉视传媒;中科云网;云内动力;常山北明;神州数码;并行科技;瑞斯康达,
2025-02-11,1834,3417,73,0,31,11,3,12,47,新炬网络9;美格智能7;航锦科技6;浙江东方6;青云科技-U5;浙数文化5;拓维信息5;梦网科技5;杭钢股份5;海南华铁4;联创电子4,奥瑞德;世荣兆业;瑞斯康达,广脉科技;亚香股份;居然智家;皇庭国际;光线传媒;东风科技;梦洁股份;创兴资源;同为股份;龙软科技;润建股份;金帝股份,
2025-02-12,3559,1568,83,0,24,8,3,6,66,新炬网络10;美格智能8;浙江东方7;青云科技-U6;浙数文化6;拓维信息6;梦网科技6;杭钢股份6,居然智家;光线传媒;润建股份,冀凯股份;威派格;福莱新材;日出东方;华数传媒;金运激光,
2025-02-13,1150,4112,64,2,31,4,2,11,47,梦网科技7;杭钢股份7;居然智家4;光线传媒4,冀凯股份;威派格,数据港;东方集团;东方材料;三江购物;康盛股份;视觉中国;浙文互联;横店影视;中恒电气;立方数科;杭齿前进,
2025-02-14,2399,2799,80,6,30,5,3,8,64,梦网科技8;杭钢股份8;居然智家5;光线传媒5;威派格4,数据港;三江购物;杭齿前进,金桥信息;宏景科技;南威软件;先达股份;华扬联众;艾可蓝;领湃科技;日海智能,
2025-02-17,3674,1604,103,5,51,4,2,16,81,杭钢股份9;威派格5;数据港4;杭齿前进4,先达股份;华扬联众,新赣江;达安基因;贝瑞基因;安必平;光正眼科;美年健康;皓宸医疗;塞力医疗;杭州高新;丰茂股份;泓博医药;科华数据;三变科技;云赛智联;麦迪科技;华嵘控股,
2025-02-18,731,4625,47,16,26,3,2,12,30,威派格6;杭齿前进5;先达股份4,云赛智联;华嵘控股,南兴股份;星光农机;新时达;冀东装备;京能热力;四川金顶;大晟文化;盈峰环境;威尔泰;广电电气;广聚能源;东华软件,
2025-02-19,4644,591,109,2,12,1,5,5,98,杭齿前进6,新时达;冀东装备;四川金顶;威尔泰;东华软件,禾盛新材;地铁设计;北方国际;天普股份;兴通股份,
2025-02-20,3377,1841,97,1,24,6,2,18,71,杭齿前进7;冀东装备4;新时达4;四川金顶4;威尔泰4;东华软件4,禾盛新材;天普股份,三丰智能;盛通股份;航锦科技;国际医学;金发科技;浙江众成;福莱新材;博迁新材;首开股份;慈文传媒;浙版传媒;卓翼科技;泰豪科技;云中马;润建股份;中大力德;万达轴承;福鞍股份,
2025-02-21,2871,2352,112,0,12,2,8,8,94,杭齿前进8;新时达5,盛通股份;浙江众成;博迁新材;慈文传媒;卓翼科技;泰豪科技;润建股份;中大力德,上海机电;奥飞数据;道恩股份;川润股份;盈峰环境;盛视科技;双飞集团;夏厦精密,
2025-02-24,2778,2467,86,9,31,5,0,13,68,新时达6;盛通股份4;浙江众成4;卓翼科技4;泰豪科技4,,大位科技;德明利;欢瑞世纪;新华传媒;利源股份;圣阳股份;科华数据;同方股份;云赛智联;深桑达Ａ;华丰股份;潍柴重机;庄园牧场,
2025-02-25,1536,3735,57,3,35,1,6,7,43,卓翼科技5,大位科技;欢瑞世纪;利源股份;圣阳股份;华丰股份;庄园牧场,标准股份;粤宏远Ａ;天成自控;永茂泰;福日电子;广聚能源;智慧农业,
2025-02-26,4249,1054,100,0,36,6,3,6,85,大位科技4;欢瑞世纪4;利源股份4;圣阳股份4;华丰股份4;庄园牧场4,标准股份;粤宏远Ａ;广聚能源,诚邦股份;雪龙集团;科森科技;精伦电子;神驰机电;杭钢股份,
2025-02-27,2133,3094,77,5,12,5,3,11,58,大位科技5;圣阳股份5;华丰股份5;庄园牧场5;广聚能源4,诚邦股份;雪龙集团;杭钢股份,恒为科技;重庆百货;江苏博云;大名城;宁波华翔;万马股份;康欣新材;中国银河;万达轴承;中大力德;龙溪股份,
2025-02-28,570,4772,48,42,22,1,2,9,36,华丰股份6,恒为科技;万马股份,灵鸽科技;东百集团;群兴玩具;上海洗霸;天正电气;中电兴发;海南椰岛;佳禾食品;好想你,
2025-03-03,3223,1965,64,24,39,1,3,4,56,恒为科技4,群兴玩具;上海洗霸;天正电气,晶华新材;宁波建工;征和工业;奥 特 迅,
2025-03-04,4049,1172,81,8,17,1,2,7,71,天正电气4,征和工业;奥 特 迅,华荣股份;浩淼科技;云鼎科技;宁水集团;贝瑞基因;海立股份;皇庭国际,
2025-03-05,2357,2884,63,3,25,1,2,10,50,天正电气5,云鼎科技;宁水集团,捷昌驱动;信隆健康;华钰矿业;跃岭股份;圣龙股份;浙江黎明;好上好;智微智能;亿通科技;龙溪股份,
2025-03-06,4274,974,111,1,31,2,4,9,96,云鼎科技4;宁水集团4,捷昌驱动;信隆健康;浙江黎明;龙溪股份,海南华铁;岩山科技;大位科技;三维通信;福达股份;卓翼科技;泰豪科技;杭电股份;海航科技,
2025-03-07,1713,3556,55,7,40,3,1,14,37,云鼎科技5;信隆健康4;浙江黎明4,海南华铁,南兴股份;新开普;立方控股;光华股份;金瑞矿业;湖北广电;铭科精技;永茂泰;云内动力;正和生态;用友网络;佳都科技;国脉科技;凤形股份,
2025-03-10,3279,1952,80,6,17,1,3,6,70,信隆健康5,湖北广电;国脉科技;凤形股份,园林股份;罗平锌电;恒勃股份;方正电机;悦心健康;京城股份,
2025-03-11,2881,2281,54,2,12,3,2,9,40,信隆健康6;湖北广电4;凤形股份4,园林股份;方正电机,金自天正;大位科技;中毅达;塞力医疗;西大门;联诚精密;襄阳轴承;狮头股份;华丰股份,
2025-03-12,2627,2559,79,1,48,3,4,9,63,信隆健康7;湖北广电5;园林股份4,塞力医疗;襄阳轴承;联诚精密;狮头股份,内蒙一机;广西广电;天威视讯;正和生态;明牌珠宝;鸿远电子;哈森股份;嘉环科技;潍柴重机,
2025-03-13,1493,3777,47,11,11,4,3,5,35,信隆健康8;塞力医疗4;襄阳轴承4;狮头股份4,明牌珠宝;嘉环科技;潍柴重机,奇精机械;金逸影视;利通电子;杭电股份;美心翼申,
2025-03-14,4494,790,87,6,26,2,2,9,74,信隆健康9;明牌珠宝4,奇精机械;金逸影视,神开股份;东方海洋;雪榕生物;宝钛股份;大有能源;海洋王;中科海讯;巨力索具;克莱特,
2025-03-17,3146,2061,69,2,23,3,4,12,50,明牌珠宝5;奇精机械4;金逸影视4,神开股份;东方海洋;海洋王;巨力索具,爱婴室;中科云网;宁波高发;金发拉比;奥康国际;诺邦股份;悦心健康;美利云;阳光乳业;贝因美;皇氏集团;红棉股份,
2025-03-18,2985,2198,65,1,25,6,1,8,50,明牌珠宝6;奇精机械5;神开股份4;东方海洋4;海洋王4;巨力索具4,阳光乳业,永安行;康惠制药;中毅达;焦作万方;襄阳轴承;建艺集团;宁波东力;福鞍股份,
2025-03-19,1492,3755,47,2,22,4,4,9,30,奇精机械6;神开股份5;巨力索具5;阳光乳业4,永安行;襄阳轴承;建艺集团;宁波东力,星光农机;南方精工;雪龙集团;大有能源;莱绅通灵;奥 特 迅;泰永长征;万马股份;宇环数控,
2025-03-20,1980,3221,62,0,28,6,3,10,43,奇精机械7;神开股份6;巨力索具6;永安行4;襄阳轴承4;宁波东力4,雪龙集团;南方精工;宇环数控,大连重工;远东传动;共达电声;东珠生态;韶能股份;东易日盛;申科股份;宝塔实业;联合精密;青海华鼎,
2025-03-21,996,4288,47,20,21,4,6,8,29,神开股份7;永安行5;南方精工4;雪龙集团4,大连重工;远东传动;东珠生态;东易日盛;青海华鼎;申科股份,振华重工;永达股份;开创国际;中马传动;亚星锚链;赛福天;邵阳液压;海默科技,
2025-03-24,1459,3854,49,34,24,3,3,6,37,雪龙集团5;大连重工4;东珠生态4,振华重工;亚星锚链;邵阳液压,中信重工;南方路机;先锋电子;尤夫股份;炬申股份;太阳电缆,
2025-03-25,2502,2740,48,35,29,0,3,7,38,,先锋电子;尤夫股份;太阳电缆,合锻智能;王子新材;中毅达;瀛通通讯;正和生态;江苏新能;石英股份,
2025-03-26,3548,1668,74,2,20,2,3,4,65,尤夫股份4;太阳电缆4,合锻智能;中毅达;正和生态,键邦股份;江天化学;南方精工;百利电气,
2025-03-27,1902,3364,50,20,23,2,0,6,42,尤夫股份5;中毅达4,,标准股份;回盛生物;三房巷;荣泰健康;合金投资;亿利达,
2025-03-28,942,4351,31,22,22,0,1,5,25,,荣泰健康,至纯科技;凯美特气;河化股份;华尔泰;冠石科技,
2025-03-31,1294,4027,34,31,15,1,1,6,26,荣泰健康4,凯美特气,大位科技;光华股份;雪龙集团;和顺石油;西部黄金;恒星科技,
2025-04-01,3854,1405,55,9,35,1,3,5,46,凯美特气4,光华股份;和顺石油;恒星科技,兰石重装;多瑞医药;江苏新能;立新能源;恒润股份,
2025-04-02,2758,2429,40,12,23,1,1,5,33,凯美特气5,恒润股份,亚邦股份;润都股份;哈三联;威尔泰;中旗新材,
2025-04-03,2075,3156,52,23,15,0,2,7,43,,哈三联;中旗新材,三星新材;天和磁材;岭南控股;湖南发展;中超控股;海鸥住工;振江股份,
2025-04-07,106,5283,24,2804,8,1,1,9,13,中旗新材4,海鸥住工,湘佳股份;新赛股份;美农生物;金河生物;国芳集团;爱丽家居;中创物流;连云港;祖名股份,
2025-04-08,3298,2048,127,106,24,2,7,9,109,中旗新材5;海鸥住工4,美农生物;新赛股份;湘佳股份;金河生物;国芳集团;爱丽家居;连云港,丰乐种业;宏辉果蔬;神农种业;秋乐种业;福成股份;北大荒;敦煌种业;万向德农;凯美特气,
2025-04-09,4528,780,125,6,28,7,3,14,101,中旗新材6;海鸥住工5;新赛股份4;国芳集团4;金河生物4;连云港4;爱丽家居4,万向德农;北大荒;秋乐种业,中百集团;东百集团;中粮科工;大名城;瑞茂通;天顺股份;中储股份;太和水;青岛金王;中源家居;中国长城;智慧农业;贝因美;品渥食品,
2025-04-10,4949,386,154,0,50,4,6,16,128,海鸥住工6;新赛股份5;国芳集团5;连云港5,中百集团;天顺股份;瑞茂通;青岛金王;中源家居;贝因美,亿嘉和;铖昌科技;欧亚集团;王府井;奇德新材;深康佳Ａ;格力地产;广宇集团;华光源海;飞力达;畅联股份;万马股份;万事利;宁波海运;锦江航运;石英股份,
2025-04-11,3291,1913,84,7,34,4,4,10,66,国芳集团6;连云港6;中源家居4;贝因美4,欧亚集团;深康佳Ａ;广宇集团;石英股份,欧晶科技;海联金汇;泰慕士;美克家居;四川黄金;远大控股;跨境通;中电港;庚星股份;保龄宝,
2025-04-14,4551,757,103,2,31,2,3,8,90,国芳集团7;中源家居5,泰慕士;远大控股;跨境通,和科达;亚邦股份;新金路;盈方微;南宁百货;通达创智;深圳华强;两面针,
2025-04-15,2418,2814,57,9,24,1,2,6,48,泰慕士4,新金路;两面针,京粮控股;中毅达;国光连锁;双成药业;乐山电力;韶能股份,
2025-04-16,1010,4313,45,5,15,2,3,10,30,泰慕士5;两面针4,国光连锁;双成药业;乐山电力,天沃科技;亚联机械;红 宝 丽;东方材料;立方制药;永泰运;华贸物流;浔兴股份;麦趣尔;安记食品,
2025-04-17,3127,2038,86,2,24,4,7,9,66,泰慕士6;国光连锁4;双成药业4;乐山电力4,亚联机械;红 宝 丽;立方制药;华贸物流;浔兴股份;安记食品;麦趣尔,渤海化学;国芳集团;天保基建;荣丰控股;金陵饭店;特  力Ａ;盛泰集团;南 京 港;桂发祥,
2025-04-18,2391,2741,61,10,21,5,3,9,44,国光连锁5;亚联机械4;红 宝 丽4;立方制药4;安记食品4,国芳集团;天保基建;特  力Ａ,蓝科高新;红墙股份;尤夫股份;中铝国际;渝 开 发;保税科技;宏昌电子;红蜻蜓;新宏泽,
2025-04-21,4362,875,100,11,20,5,3,9,83,国光连锁6;立方制药5;安记食品5;国芳集团4;天保基建4,红墙股份;尤夫股份;保税科技,天元股份;威尔药业;百大集团;大千生态;新华联;海能达;华脉科技;武汉凡谷;仁智股份,
2025-04-22,2531,2671,81,12,21,5,3,15,58,安记食品6;天保基建5;国芳集团5;红墙股份4;保税科技4,天元股份;威尔药业;百大集团,生 意 宝;信雅达;先达股份;顺灏股份;三房巷;步步高;海联金汇;乐山电力;安正时尚;青岛金王;中旗新材;跨境通;润贝航科;华泰股份;有友食品,
2025-04-23,3184,2050,61,18,35,1,4,6,50,天元股份4,先达股份;步步高;海联金汇;青岛金王,中欣氟材;轻纺城;圣龙股份;三木集团;连云港;新晨科技,
2025-04-24,1545,3693,52,11,23,4,2,9,37,天元股份5;先达股份4;步步高4;海联金汇4,中欣氟材;三木集团,永安药业;三维化学;尤夫股份;健尔康;东贝集团;丰华股份;方正电机;棒杰股份;浙江荣泰,
2025-04-25,2831,2371,65,18,30,2,1,5,57,天元股份6;步步高5,东贝集团,茂业商业;华银电力;韶能股份;西昌电力;宁波联合,
